id,review,type,label
20001,"정말 끔찍한 영화. 시간 낭비.",original,0
20002,"배우들 연기에 감탄했습니다.",original,1
20003,"스토리가 너무 유치해요.",generated,0
20004,"오랜만에 만난 수작!",original,1
20005,"이걸 왜 만들었는지... 최악.",original,0
20006,"감동적이고 마음이 따뜻해지는 영화.",generated,1
20007,"전개가 너무 뻔해서 하품만 나옴.",original,0
20008,"몰입감이 엄청나네요. 최고.",original,1
20009,"지루함의 극치. 비추.",generated,0
20010,"꼭 봐야 할 영화. 강력 추천.",original,1
20011,"영상미는 좋은데 스토리가 별로.",original,0
20012,"가슴이 웅장해진다.",original,1
20013,"이해할 수 없는 전개.",generated,0
20014,"배우들의 연기 변신이 놀랍다.",original,1
20015,"돈 아까워서 끝까지 봤네요.",original,0
20016,"음악이 정말 좋았어요.",generated,1
20017,"기대했는데 실망이 큼.",original,0
20018,"인생 영화가 또 하나 늘었네요.",original,1
20019,"이렇게 재미없기도 힘든데.",generated,0
20020,"가족과 함께 보기 좋은 영화.",original,1
20021,"결말이 너무 허무함.",original,0
20022,"신선한 소재, 훌륭한 연출.",original,1
20023,"대체 뭘 말하고 싶은 건지...",generated,0
20024,"두 번, 세 번 봐도 좋을 영화.",original,1
20025,"내 시간이 아깝다.",original,0
20026,"여운이 길게 남는 영화입니다.",generated,1
20027,"B급 감성도 이 정도면 최악.",original,0
20028,"주연 배우 믿고 봤는데 역시!",original,1
20029,"너무 지루해서 중간에 나왔어요.",original,0
20030,"유쾌하고 재미있네요.",generated,1
20031,"스토리가 너무 빈약해요.",original,0
20032,"킬링타임용으로 딱 좋습니다.",original,1
20033,"총체적 난국.",generated,0
20034,"감독의 다음 작품이 기대됩니다.",original,1
20035,"보지 마세요. 제발.",original,0
20036,"생각할 거리를 던져주네요.",generated,1
2*0037,"억지 감동 짜내기.",original,0
20038,"작은 영화지만 큰 울림을 줍니다.",original,1
20039,"CG가 너무 티 나서 몰입이 깨짐.",generated,0
20040,"캐릭터들이 다 살아있어요.",original,1
20041,"이게... 영화?",original,0
20042,"아무 생각 없이 웃고 싶을 때 추천.",original,1
20043,"원작을 완전히 망쳐놨네요.",generated,0
20044,"배우들 연기 합이 정말 좋아요.",original,1
20045,"차라리 그 시간에 잠을 자는 게...",original,0
20046,"마음이 정화되는 기분.",generated,1
20047,"너무 상업적이라 거부감이 드네요.",original,0
20048,"눈이 즐거운 영화.",original,1
20049,"스토리가 어디로 가는지 모르겠음.",generated,0
20050,"묵직한 감동이 있습니다.",original,1
20051,"기승전결이 엉망진창.",original,0
20052,"오랜만에 극장에서 소리 내서 웃었네요.",original,1
20053,"뻔한 클리셰 범벅.",generated,0
20054,"이 영화를 이제야 봤다니!",original,1
20055,"보면서 계속 시계 봤습니다.",original,0
20056,"숨겨진 보석 같은 영화.",generated,1
20057,"연기, 연출, 스토리 다 별로.",original,0
20058,"이런 게 진짜 영화지.",original,1
20059,"너무 유치해서 손발이 오그라듦.",generated,0
20060,"반전이 소름 돋았어요.",original,1
20061,"도대체 감독의 의도가 뭘까...",original,0
20062,"마지막 10분이 정말 최고.",original,1
20063,"보다가 껐습니다.",generated,0
20064,"N차 관람 각입니다.",original,1
20065,"개연성이 하나도 없음.",original,0
20066,"ost가 귓가에 맴도네요.",generated,1
20067,"조연 배우 연기가 너무 어색함.",original,0
20068,"풋풋하고 예쁜 영화.",original,1
20069,"이도 저도 아닌 애매함.",generated,0
20070,"시간 순삭! 정말 재밌어요.",original,1
20071,"보는 내내 불편했습니다.",original,0
20072,"대사 하나하나가 주옥같네요.",original,1
20073,"너무 많은 것을 담으려다 실패함.",generated,0
20074,"가볍게 보기 좋은 로코.",original,1
20075,"아... 정말 실망.",original,0
20076,"긴장감 넘치고 흥미진진합니다.",generated,1
20077,"이 배우는 왜 나온 건지?",original,0
20078,"기대 안 했는데 꿀잼.",original,1
20079,"특색 없는 그냥 그런 영화.",generated,0
20080,"믿고 보는 감독. 역시!",original,1
20081,"너무 지루하고 따분함.",original,0
20082,"영상미가 미쳤어요.",original,1
20083,"이 영화를 옹호하는 사람들은 대체...",generated,0
20084,"가슴 따뜻한 힐링 영화.",original,1
20085,"돈 주고 보라고 해도 안 봄.",original,0
20086,"보면 볼수록 매력 있네요.",generated,1
20087,"공포 영화인데 하나도 안 무서움.",original,0
20088,"완벽한 기승전결.",original,1
20089,"의미 없는 장면들의 나열.",generated,0
20090,"배우들 때문에 끝까지 봤다.",original,1
20091,"지루함의 끝판왕.",original,0
20092,"속편이 시급합니다.",original,1
20093,"내가 이걸 왜 봤을까.",generated,0
20094,"시각적, 청각적 만족감이 높음.",original,1
20095,"최악의 발연기.",original,0
20096,"보면 기분 좋아지는 영화.",generated,1
20097,"스토리가 너무 식상해요.",original,0
20098,"그냥... 최고. 말이 필요 없음.",original,1
20099,"아무런 감흥이 없어요.",generated,0
20100,"마지막 장면이 잊히질 않네요.",original,1